義項id,詞目漢字,解說,對應義項id,對應詞目漢字,對應解說
1845,以後,日後、以後、爾後 。指晚於某一段時間之後的時間。,5448,往日,過去、以往。過去的日子。
1845,以後,日後、以後、爾後 。指晚於某一段時間之後的時間。,5458,往年,過去、從前。過去的年歲。
1845,以後,日後、以後、爾後 。指晚於某一段時間之後的時間。,5489,往過,以往、以前。
1845,以後,日後、以後、爾後 。指晚於某一段時間之後的時間。,19676,以早,以前、從前。
1845,以後,日後、以後、爾後 。指晚於某一段時間之後的時間。,22218,起去,以前，時間回溯到過去、過往。
1869,仝款,同樣、相像。一樣，沒有差別。,4142,別款,別的樣式。
1886,冬,一年中的第四季。,8167,夏,一年中的第二季。
1922,北,方位名。與「南」相對。,6606,南,方位名。早晨面朝太陽時，右手的一邊。與「北」相對。
1950,古,過去久遠的時代。,777,今,此時、現在。
1982,外,方位名。不在特定範圍之內均稱為「外」。相對於「內」而言。,781,內,裡。裡面。
1982,外,方位名。不在特定範圍之內均稱為「外」。相對於「內」而言。,784,內,裡。裡面。
1985,外,非本國的。,786,內,指國內的政務。
1992,外人,沒有親屬關係的人。,16245,親人,親人、至親。關係親近的親屬。
1992,外人,沒有親屬關係的人。,22629,厝內人,家眷。指眷屬。
1996,出口,將本國貨物販售運送至國外。,12519,進口,入口、輸入。外國或外地的東西輸入、賣到本地。
2002,外口,外面。外頭、外邊。,909,內底,裡面、內部。
2002,外口,外面。外頭、外邊。,938,內面,裡面、內部。
2005,司公,道士。民間一般分烏頭道士及紅頭道士。烏頭道士頭包烏網巾，戴道冠，穿道袍，腳穿普通鞋及朝鞋；而紅頭道士則頭包紅巾戴額帽，身穿普通衣，腰圍白裙，腳則赤足。一般紅頭道士是度生的，即為活人驅邪押煞、禳星補運；而烏頭道士除了度生外，也兼度死，為死人做功德超度亡魂。,2852,先生媽,巫婆。稱呼道教中從事各種儀式、代人祈禱、求鬼神賜福、解決問題的女性。
2011,冬天,一年四季中最後一個季節，氣候寒冷。,15334,熱人,夏天。一年四季中的第二季。
2011,冬天,一年四季中最後一個季節，氣候寒冷。,15335,熱天,夏天。一年四季中的第二個季節，一般而言氣候較熱。
2023,北爿,北邊。北方。,6614,南爿,南邊。南方。
2036,出外,離家遠行到外地去。,17197,轉來,回來。
2036,出外,離家遠行到外地去。,19180,倒轉去,回去、返家。
2036,出外,離家遠行到外地去。,21918,轉來去,回家。
2039,外外,漠不關心、置身事外。,22510,致心,盡心盡力、專心致志。
2043,四正,四方端正、不偏不倚。,5952,東倒西歪,形容亂七八糟的樣子。
2043,四正,四方端正、不偏不倚。,21874,坦斜,斜著。
2043,四正,四方端正、不偏不倚。,22568,走斜,歪斜不正。
2048,外交,以和平的方法，處理對外的關係。通常或指一國的外交政策，或指處理外交的程序。,922,內政,國家內部的政事。
2057,外行,形容人對某事沒經驗或不了解。,891,內行,對某種事或工作有豐富的知識和經驗。
2060,冬尾,殘冬。見【年尾】nî-bué 條。,3338,年頭,一年的開始。
2063,四秀仔,零食、零嘴。,2472,正頓,正餐、三餐。定時所吃的早、中、晚三餐。
2068,出來,自內而出。發話者不在裡面。語氣完結時唸作tshut--lâi。,19666,入去,進去。從外面進到裡面。
2073,古板,死板。作風保守、固執不知變通。,829,五仁,插科打諢。形容人行為滑稽、詼諧，逗人發笑。
2080,出門,離家外出。,161,入門,進門。
2080,出門,離家外出。,21918,轉來去,回家。
2088,外科,臨床醫學的一大分支。主要處理身體的急性損傷，以及一些非手術治療不可的慢性疾病。,930,內科,依照病人對症狀的敘述，以用藥、打針來治療身體內部的各種疾病，而不動外科手術。
2091,外衫,外衣。穿在外面的衣服。,819,內䘥仔,無袖內衣。
2091,外衫,外衣。穿在外面的衣服。,934,內衫,內衣。貼身穿在上身的衣服，通常較薄。
2091,外衫,外衣。穿在外面的衣服。,940,內套,女用上身內襯。
2094,外面,外面、外頭、外邊。,909,內底,裡面、內部。
2094,外面,外面、外頭、外邊。,938,內面,裡面、內部。
2097,外套,在平常服裝外面所加的禦寒外衣，稱為「外套」。,940,內套,女用上身內襯。
2098,出家,離開家庭生活，專心修持正道。多為佛、道用語。,16913,還俗,僧尼或出家的道士恢復為普通人的身分。
2103,外家,娘家。女子出嫁後，稱自己父母的家。,22512,內家,婆家。指女人出嫁後，丈夫的父母家。
2113,可能,或許，也許。,22855,定規,必定、必然、肯定。
2122,四常,時常、經常。,22614,一半擺仔,偶爾、一兩次。
2135,北部,指某一地的北方區域。,609,下港,指臺灣南部地方。
2142,外場,賭博中，稱莊腳為「外場」。,974,內場,賭博中，稱莊家為「內場」。
2143,外場,劇場、店家直接面對觀眾、客人的場所及人員。,976,內場,店家不直接面對客人的場所及人員。如餐廳的廚房。
2144,可惡,令人厭惡反感。,2163,可愛,討人喜愛。
2146,四散,向四周分散。,12698,集中,集合、匯聚在一起。
2146,四散,向四周分散。,12707,集合,會合、聚在一起。
2146,四散,向四周分散。,13180,會合,照約定好的時間及地點彼此聚會、集合。
2163,可愛,討人喜愛。,2144,可惡,令人厭惡反感。
2166,北極,地球沿南北向的地軸旋轉，而此地軸的北端，稱為「北極」。,6654,南極,地球的最南端，南緯九十度上。
2179,出運,運氣由壞轉好。,9257,衰運,倒楣、霉運。運氣不好。
2179,出運,運氣由壞轉好。,13653,落衰,走背運、走霉運。
2187,北管,流行在中國閩南及臺灣的傳統音樂。因為由北曲演變而來，所以稱為「北管」。依照所使用的樂器，可分為西皮和福祿二派。西皮以弔鬼子胡琴為主奏樂器；福祿則用殼子弦。唱腔上，福祿部分保存梆子腔系統，西皮部分保存皮黃腔系統。,6659,南管,流行於福建、臺灣及東南亞地區的古樂。以古代樂曲逐步融合當地的民間音樂，歌者手拿拍板，以琵琶為主要伴奏，再配合洞簫、三弦、二弦、四塊板等樂器演奏。南管樂曲通常分為指、譜、曲三種，樂風平和端莊。
2221,出聲,用嘴發出聲音，常用來表示「說話」的意思。,6930,恬恬,安靜無聲。
2221,出聲,用嘴發出聲音，常用來表示「說話」的意思。,15877,噷噷,悶不作聲、不吭聲。
2256,巧,聰明的樣子。,8856,病,形容人又笨又傻，不聰明。
2268,幼,皮膚細嫩的樣子。,10718,粗,不平滑的。
2269,幼,嫩。用於形容蔬菜、肉類的口感。,7113,柯,形容在品嚐蔬菜或瓜果時，有纖維粗糙的感覺。
2269,幼,嫩。用於形容蔬菜、肉類的口感。,22963,粗絲,形容食用蔬果時，其纖維有粗糙的感覺。
2271,幼,細膩、精緻。常指東西的做工精緻或手藝精細。,10717,粗,不精緻的。
2298,正,中、不偏的、不歪斜的。,7165,歪,歪斜。
2299,正,真實的。,9594,假,不真實的、虛偽的。
2300,正,右邊。,7968,倒,左邊。
2311,母,釋義參見【母】bó 條。,787,公,雄性的。
2327,尻川後,背後、後面。,7922,面頭前,眼前、面前。
2336,正手,右手。,8004,倒手,左手。
2336,正手,右手。,18339,䆀手,左手。
2339,正手爿,右邊。,8006,倒手爿,左邊、左側。
2339,正手爿,右邊。,8007,倒爿,左邊、左側。
2341,正爿,右邊。方位名。與「左邊」相對。,8006,倒手爿,左邊、左側。
2341,正爿,右邊。方位名。與「左邊」相對。,8007,倒爿,左邊、左側。
2341,正爿,右邊。方位名。與「左邊」相對。,8026,倒面,左面、左邊。
2360,本地,居住在某地區的人自稱該地為「本地」。,18889,外埠頭,外地、外鄉鎮。
2371,幼秀,指動作、行為、工作細膩。,10788,粗魯,粗暴魯莽。
2375,正身,正房。舊式合院房屋的中心建築部分，兩邊則為「護龍」。,17860,護龍,廂房。傳統三合院或四合院左右兩旁的廂房。
2378,未來,將來。相對於現在、過去來說。,3069,向時,從前、昔日。
2378,未來,將來。相對於現在、過去來說。,5448,往日,過去、以往。過去的日子。
2378,未來,將來。相對於現在、過去來說。,5458,往年,過去、從前。過去的年歲。
2378,未來,將來。相對於現在、過去來說。,5489,往過,以往、以前。
2391,母的,雌的。雌性動植物。,916,公的,雄性的動物、陽性的器物。
2402,必要,絕對需要，不可缺少的。,1286,毋免,不必、不用、不需要。
2403,正面,身體五官的那一面、物體的外表或上層。,6934,後面,人體或物體背面、靠後的部分。
2403,正面,身體五官的那一面、物體的外表或上層。,8027,倒面,背面、反面。
2408,平埔,平地、平野、平坦而空曠的原野。,498,山坪,山坡地。山凹間或山麓上較平坦的地或可耕地。
2409,平埔番,平埔族原住民，共有十餘族。居住在平地的原住民，現在幾乎已經都被漢人同化了，只留少數的族群和漢人混居。「番」為早期之講法，因有歧視之義，應避免使用。,2713,生番,清代對未歸化臺灣原住民的稱呼，與熟番、平埔族相對應。
2413,失眠,夜晚不能自然入睡。,13648,落眠,熟睡、沉睡。
2414,失神,形容一個人精神恍惚，魂不守舍。,22710,精英,有元氣、有活力。
2425,平常,形容一點也沒有值得奇怪或驚訝的地方。,8767,特殊,特別。不同於一般，不平常的事物。
2425,平常,形容一點也沒有值得奇怪或驚訝的地方。,22576,怪奇,奇怪、奇特、蹊蹺。
2427,失敗,指事情沒有成功。,3441,成功,指事情有所成就，或達到目標。
2429,失望,希望落空，心裡難過。,3077,向望,盼望、希望。
2429,失望,希望落空，心裡難過。,4288,希望,期望、寄望。
2429,失望,希望落空，心裡難過。,11729,期待,希望、盼望。
2438,正途,正業、正路。正確的路途、行業。,1517,歹路,指不好的途徑、方向。
2447,正港,指正宗道地的，非冒名的。,22419,仿仔,贗品、仿冒品。仿製的東西。
2448,必然,確定不移。,11838,無一定,不一定、不確定。
2448,必然,確定不移。,11878,無定著,也許、說不定。
2448,必然,確定不移。,11888,無的確,說不定、不一定。
2463,正經,正派，謹守規矩。,331,三八,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。
2463,正經,正派，謹守規矩。,342,三八氣,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。
2470,正路,正當的途徑。引申為做好人，行好事。,1517,歹路,指不好的途徑、方向。
2472,正頓,正餐、三餐。定時所吃的早、中、晚三餐。,2063,四秀仔,零食、零嘴。
2472,正頓,正餐、三餐。定時所吃的早、中、晚三餐。,16965,點心,有別於正餐所吃的食物，如糕餅類、小吃等。
2495,民營化,為提升國家競爭力和事業經營效率，將國營事業轉變由民間出資經營。,945,公家,屬於政府的、公眾的。
2507,幼麵麵,細嫩。,23046,粗耙耙,粗糙、不平滑的。
2521,生,東西還沒成熟。,15294,熟,指農作物或蔬果已經長成到可以收成的程度。
2522,生,沒有煮熟的。,15291,熟,食物加熱到可以吃的程度。
2546,田,可供耕作或作資源開發的土地。「田」裡有水，在閩南話中，「田」是指「水田」，「園」是指「旱田」。,12849,園,指園地、旱地。
2561,白,顏色名。像雪或乳汁般素淨的顏色。,8705,烏,顏色名。指黑色。
2606,甘心,寧願、情願。自己願意，沒有半點勉強。,1241,毋甘願,不甘心、不甘願。
2606,甘心,寧願、情願。自己願意，沒有半點勉強。,1443,毋情願,不情不願。
2606,甘心,寧願、情願。自己願意，沒有半點勉強。,1626,毋願,不甘心。心裡不服氣，不情願。
2624,生份,陌生。沒見過的、不認識的或不熟悉的。,15302,熟似,熟識。素來認識。
2624,生份,陌生。沒見過的、不認識的或不熟悉的。,22387,有親,極重視親屬關係，常用於熱切邀請親友來做客的語境。
2625,生份人,陌生人。完全不認識的人。,15303,熟似人,熟人。認識、熟識的人。
2629,生存,活著、讓生命持續。,3406,死,生命結束，沒有生命跡象。
2629,生存,活著、讓生命持續。,3434,死亡,喪失生命。
2634,白肉,肥肉。,4791,赤肉,瘦肉、精肉。
2634,白肉,肥肉。,14680,精肉,瘦肉。
2634,白肉,肥肉。,15341,瘦肉,瘦肉、精肉。
2641,田佃,佃農、佃戶。租用別人的田地從事農業生產的農民。,2744,田僑仔,擁有許多田地，靠地價暴漲而致富的土財主。
